Found focus mDHFR as sequence 23266
23266 valid sequences out of 23266 
186 sites out of 186
Effective number of samples: 13585.6	(80% identical neighborhood = 1.000 samples)
iter	time	cond	fx	-loglk	||h||	||e||
1	4.4	1117.79	3808523.9	3796411.7	109.9	1.0
2	6.6	816.97	3575023.9	3562452.2	109.9	3.7
3	8.8	1205.46	3399737.0	3385203.2	109.8	8.2
4	11.0	816.73	3245515.0	3227898.3	109.7	12.3
5	13.2	661.18	3169991.0	3149647.9	109.7	15.0
6	15.5	564.54	3099766.6	3075643.7	109.6	18.1
7	17.9	578.16	3010925.3	2978908.3	109.5	23.3
8	20.3	601.88	2930811.2	2890573.7	109.4	27.6
9	22.5	551.87	2864483.6	2820018.8	109.4	29.6
10	24.9	536.22	2793732.9	2745628.0	109.3	31.3
11	27.3	580.63	2738566.2	2686709.7	109.3	32.8
12	29.6	485.37	2688873.8	2631732.5	109.2	35.0
13	32.1	383.44	2645343.3	2581441.2	109.2	37.5
14	34.6	418.38	2603007.1	2527072.9	109.1	41.6
15	37.0	529.34	2568695.9	2474020.6	109.0	47.3
16	39.4	304.71	2536290.3	2433472.6	108.9	49.6
17	41.7	282.66	2507041.6	2394642.2	108.8	52.1
18	44.1	339.02	2480771.5	2356480.7	108.8	55.1
19	46.5	403.87	2454745.1	2306008.3	108.6	60.8
20	48.8	255.47	2429304.9	2276392.1	108.6	61.8
21	51.1	303.60	2405351.9	2248812.6	108.5	62.5
22	53.5	308.19	2384176.8	2220254.1	108.5	64.1
23	55.8	389.75	2356233.2	2170371.2	108.3	68.6
24	58.2	226.93	2331187.1	2137123.4	108.3	70.2
25	60.6	228.23	2313998.7	2115510.2	108.2	71.0
26	63.0	307.53	2295329.9	2088329.8	108.1	72.7
27	65.2	243.22	2276337.7	2058310.7	108.0	74.7
28	67.5	181.30	2262904.2	2040614.4	108.0	75.4
29	69.8	214.24	2245443.4	2015005.0	107.9	76.9
30	72.2	340.07	2237279.8	1998901.2	107.8	78.3
31	74.7	184.72	2226000.0	1986749.3	107.8	78.4
32	77.0	165.26	2213023.4	1968691.0	107.8	79.3
33	79.4	171.43	2204215.7	1954435.1	107.7	80.2
34	81.8	474.20	2197395.6	1930167.8	107.5	83.1
35	84.0	142.33	2180452.6	1909768.2	107.5	83.7
36	86.2	113.49	2175981.5	1906408.5	107.5	83.5
37	88.4	140.96	2168216.4	1895411.6	107.4	84.0
38	90.6	270.26	2161924.4	1879554.7	107.3	85.6
39	92.9	143.65	2153935.3	1867684.4	107.2	86.2
40	95.2	120.00	2147661.1	1855866.6	107.2	87.0
41	97.6	125.21	2143278.0	1845895.0	107.1	87.9
42	100.2	223.05	2138328.8	1830383.0	107.0	89.5
43	102.8	101.24	2132903.8	1823265.1	106.9	89.8
44	105.2	99.38	2129482.1	1819767.3	106.9	89.8
45	107.6	127.78	2125690.7	1813781.9	106.9	90.1
